Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.182758906345787,-0.0134484847664763,0.137652991114369,0,0,0,72.4624120965553,1.03698391979459,-0.000210701729020981,-0.116314675037364,2.85903838282278,-2.4157035399676E-05,2.93860969077668,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,Robot Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Linkage,0.00701003026328413,0.168459146317716,0.228641447261614,0,0,0,1.33787486310773,0.00907006794581363,7.52717382370763E-06,-5.86003487004915E-06,0.00606529695807179,-0.00402466496126211,0.00356221856912841,0,0,0,0,0,0,package://URDF/meshes/Linkage.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/Linkage.STL,,Robot Linkage-1,Origin_Linkage,Axis_Linkage,Linkage,revolute,-0.3396,0,0.23219,2.1933,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
Bucket,0.0063976292096917,0.0200063059045625,-0.0138039146472492,0,0,0,3.11548661864267,0.0467750299647306,-6.63279180774491E-10,-6.63292863061454E-10,0.080486344523465,0.00940057049258649,0.0498337285837346,0,0,0,0,0,0,package://URDF/meshes/Bucket.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF/meshes/Bucket.STL,,ROBOT BUCKET-1,Origin_Bucket,Axis_Bucket,Bucket,revolute,0,0.24884,0.33835,2.5191,0,0,Linkage,1,0,0,0,0,0,0,,,,,,,,
